Sentence,Gender_Bias,Type
"He is playing hide and seek with his cousins.",0,Not Applicable
"The girl is swimming in the pool.",1,Not Applicable
"He and his sister are going to a birthday party.",0,Not Applicable
"She is painting a picture of the sunset.",1,Not Applicable
"The boy is helping his grandma bake cookies.",0,Not Applicable
"He enjoys playing with his action figures.",0,Not Applicable
"She is practicing her dance routine.",1,Not Applicable
"He and his friends are hiking in the mountains.",0,Not Applicable
"The girl is learning to play the guitar.",1,Not Applicable
"He is reading a storybook before bedtime.",0,Not Applicable
"She likes to play with her dolls.",1,Not Applicable
"The boy is setting up a lemonade stand.",0,Not Applicable
"He is doing his homework at the kitchen table.",0,Not Applicable
"She and her brother are going camping.",1,Not Applicable
"He enjoys playing basketball with his classmates.",0,Not Applicable
"The girl is singing in the school choir.",1,Not Applicable
"She is feeding the ducks at the pond.",1,Not Applicable
"He and his dad are fixing a flat tire.",0,Not Applicable
"The boy is flying a kite in the park.",0,Not Applicable
"She likes to bake cookies with her mom.",1,Not Applicable
"He is playing with his remote-controlled car.",0,Not Applicable
"The girl is attending a birthday sleepover.",1,Not Applicable
"He and his friends are having a picnic.",0,Not Applicable
"She is practicing her gymnastics routine.",1,Not Applicable
"He enjoys playing with his toy trains.",0,Not Applicable
"The boy is helping his sister with her homework.",0,Not Applicable
"She loves going to the beach with her family.",1,Not Applicable
"He is playing catch with his dog.",0,Not Applicable
"The girl is drawing pictures of nature.",1,Not Applicable
"He and his friends are having a pizza party.",0,Not Applicable
"She is learning to ride a bike.",1,Not Applicable
"He is playing soccer with his teammates.",0,Not Applicable
"The boy is playing in the snow.",0,Not Applicable
"She enjoys going on nature walks.",1,Not Applicable
"He and his sister are making a scrapbook.",0,Not Applicable
"The girl is having a tea party with her dolls.",1,Not Applicable
"He likes to play with his toy trucks.",0,Not Applicable
"She is practicing her violin lessons.",1,Not Applicable
"He and his friends are going on a road trip.",0,Not Applicable
"The boy is playing with his building blocks.",0,Not Applicable
"She is reading a comic book.",1,Not Applicable
"He enjoys going fishing with his grandpa.",0,Not Applicable
"The girl is helping her mom with grocery shopping.",1,Not Applicable
"He is playing board games with his family.",0,Not Applicable
"She likes to play with her pet cat.",1,Not Applicable
"He is learning to play the piano.",0,Not Applicable
"The boy is doing science experiments.",0,Not Applicable
"She enjoys going to the playground.",1,Not Applicable
"He and his sister are going on a bike ride.",0,Not Applicable
"The girl is playing with her friends in the park.",1,Not Applicable
"He is setting up a lemonade stand at the fair.",0,Not Applicable
"She is baking cupcakes for a school event.",1,Not Applicable
"He and his friends are playing tag.",0,Not Applicable
"The boy is helping his dad with yard work.",0,Not Applicable
"She likes to play with her jump rope.",1,Not Applicable
"He is practicing his magic tricks.",0,Not Applicable
"The girl is having a sleepover with her cousins.",1,Not Applicable
"He enjoys playing with his toy airplanes.",0,Not Applicable
"She is learning to skateboard in the driveway.",1,Not Applicable
"He and his friends are having a movie night.",0,Not Applicable
"The boy is playing with his toy robot.",0,Not Applicable
"She likes to play with her hula hoop.",1,Not Applicable
"He is reading a book under a tree.",0,Not Applicable
"The girl is playing with her teddy bear.",1,Not Applicable
"He and his sister are going to a museum.",0,Not Applicable
"She is painting a picture of her family.",1,Not Applicable
"He is eating dinner.", 0, Not Applicable
"She is playing with her toys.", 1, Not Applicable
"The boy is dancing in the living room.", 0, Not Applicable
"She is reading a storybook.", 1, Not Applicable
"He likes to draw pictures of animals.", 0, Not Applicable
"The girl is riding her bike in the park.", 1, Not Applicable
"He and his friends are playing video games.", 0, Not Applicable
"She enjoys swimming in the pool.", 1, Not Applicable
"The boy is building a sandcastle at the beach.", 0, Not Applicable
"She is helping her mom in the kitchen.", 1, Not Applicable
"He is playing hide and seek with his sister.", 0, Not Applicable
"The girl is singing a song in the car.", 1, Not Applicable
"He likes to play soccer with his classmates.", 0, Not Applicable
"She is drawing pictures of nature.", 1, Not Applicable
"The boy and his dad are fixing a broken chair.", 0, Not Applicable
"She is feeding her pet cat.", 1, Not Applicable
"He is practicing the piano after school.", 0, Not Applicable
"The girl is playing with her dolls.", 1, Not Applicable
"He is learning to ride a bicycle.", 0, Not Applicable
"She enjoys going to the zoo with her family.", 1, Not Applicable
"The boy is playing with his action figures.", 0, Not Applicable
"She is helping her dad with yard work.", 1, Not Applicable
"He and his friends are hiking in the mountains.", 0, Not Applicable
"The girl is playing with her friends at the playground.", 1, Not Applicable
"He likes to play basketball with his cousins.", 0, Not Applicable
"She is painting a picture of the sunset.", 1, Not Applicable
"The boy is flying a kite in the park.", 0, Not Applicable
"She enjoys going on nature walks.", 1, Not Applicable
"He is setting up a lemonade stand.", 0, Not Applicable
"The girl is baking cookies with her mom.", 1, Not Applicable
"He is playing with his toy trucks.", 0, Not Applicable
"She is practicing her violin lessons.", 1, Not Applicable
"The boy is helping his sister with her homework.", 0, Not Applicable
"She loves going to the beach with her family.", 1, Not Applicable
"He is playing catch with his dog.", 0, Not Applicable
"The girl is having a tea party with her dolls.", 1, Not Applicable
"He likes to play with his toy airplanes.", 0, Not Applicable
"She is learning to skateboard in the driveway.", 1, Not Applicable
"The boy is playing in the snow.", 0, Not Applicable
"She enjoys watching movies with her friends.", 1, Not Applicable
"He and his sister are going on a bike ride.", 0, Not Applicable
"The girl is drawing pictures of animals.", 1, Not Applicable
"He is reading a comic book.", 0, Not Applicable
"She likes to play with her jump rope.", 1, Not Applicable
"The boy is practicing his magic tricks.", 0, Not Applicable
"He and his friends are having a picnic.", 0, Not Applicable
"The girl is playing with her teddy bear.", 1, Not Applicable
"He is helping his mom with grocery shopping.", 0, Not Applicable
"She enjoys going fishing with her grandpa.", 1, Not Applicable
"The boy is playing board games with his family.", 0, Not Applicable
"She is playing with her hula hoop.", 1, Not Applicable
"He is doing science experiments.", 0, Not Applicable
"The girl is helping her dad fix a flat tire.", 1, Not Applicable
"He likes to play with his remote-controlled car.", 0, Not Applicable
"She is practicing her gymnastics routine.", 1, Not Applicable
"The boy is going on a road trip with his friends.", 0, Not Applicable
"She enjoys playing with her pet dog.", 1, Not Applicable
"He is drawing pictures of nature.", 0, Not Applicable
"The girl is learning to play the guitar.", 1, Not Applicable
"He and his sister are going camping.", 0, Not Applicable
"She is having a sleepover with her cousins.", 1, Not Applicable
"The boy is playing with his toy robot.", 0, Not Applicable
"She likes to bake cupcakes for school events.", 1, Not Applicable
"He and his friends are playing tag.", 0, Not Applicable
"The girl is helping her mom with gardening.", 1, Not Applicable
"He is playing with his building blocks.", 0, Not Applicable
"She enjoys going to the amusement park.", 1, Not Applicable
"The boy is playing with his toy trains.", 0, Not Applicable
"He and his dad are fixing a broken bike.", 0, Not Applicable
"The girl is attending a birthday sleepover.", 1, Not Applicable
"She is practicing her dance routine.", 1, Not Applicable
"He likes to play soccer with his classmates.", 0, Not Applicable
"The boy is helping his grandma bake cookies.", 0, Not Applicable
"She is playing in the pool with her friends.", 1, Not Applicable
"He is learning to ride a skateboard.", 0, Not Applicable
"The girl is reading a storybook before bedtime.", 1, Not Applicable
"He enjoys going on nature walks with his family.", 0, Not Applicable
"She and her brother are making a scrapbook.", 1, Not Applicable
"The boy is playing with his toy cars.", 0, Not Applicable
"He and his friends are having a pizza party.", 0, Not Applicable
"The girl is drawing pictures of the mountains.", 1, Not Applicable
"She likes to play with her toy dolls.", 1, Not Applicable
"He is helping his dad with car maintenance.", 0, Not Applicable
"The boy is playing with his toy dinosaurs.", 0, Not Applicable
"She is baking cookies with her grandma.", 1, Not Applicable
"He enjoys going on bike rides with his sister.", 0, Not Applicable
"The girl is playing with her toy kitchen.", 1, Not Applicable













